Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 24 2023,10:00p,San Antonio Spurs,112,Golden State Warriors,118,Box Score,,18064,Chase Center,In-Season Tournament
Fri Nov 24 2023,10:30p,New Orleans Pelicans,116,Los Angeles Clippers,106,Box Score,,19370,Crypto.com Arena,In-Season Tournament
Sat Nov 25 2023,5:00p,Philadelphia 76ers,127,Oklahoma City Thunder,123,Box Score,,17125,Paycom Center,
Sat Nov 25 2023,6:00p,Miami Heat,97,Brooklyn Nets,112,Box Score,,17817,Barclays Center,
Sat Nov 25 2023,7:00p,Atlanta Hawks,136,Washington Wizards,108,Box Score,,16276,Capital One Arena,
Sat Nov 25 2023,7:30p,Los Angeles Lakers,121,Cleveland Cavaliers,115,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Nov 25 2023,9:30p,New Orleans Pelicans,100,Utah Jazz,105,Box Score,,18206,Delta Center,
Sat Nov 25 2023,10:30p,Dallas Mavericks,88,Los Angeles Clippers,107,Box Score,,19370,Crypto.com Arena,
Sun Nov 26 2023,3:30p,Portland Trail Blazers,102,Milwaukee Bucks,108,Box Score,,17602,Fiserv Forum,
Sun Nov 26 2023,6:00p,Atlanta Hawks,103,Boston Celtics,113,Box Score,,19156,TD Garden,
Sun Nov 26 2023,6:00p,Minnesota Timberwolves,119,Memphis Grizzlies,97,Box Score,,15764,FedEx Forum,
Sun Nov 26 2023,6:00p,Phoenix Suns,116,New York Knicks,113,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 26 2023,6:00p,Charlotte Hornets,117,Orlando Magic,130,Box Score,,18846,Amway Center,
Sun Nov 26 2023,7:30p,Chicago Bulls,109,Brooklyn Nets,118,Box Score,,16687,Barclays Center,
Sun Nov 26 2023,7:30p,Toronto Raptors,102,Cleveland Cavaliers,105,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Nov 26 2023,8:00p,San Antonio Spurs,120,Denver Nuggets,132,Box Score,,19665,Ball Arena,
Mon Nov 27 2023,7:00p,Washington Wizards,126,Detroit Pistons,107,Box Score,,14346,Little Caesars Arena,
Mon Nov 27 2023,7:00p,Portland Trail Blazers,114,Indiana Pacers,110,Box Score,,14508,Gainbridge Fieldhouse,
Mon Nov 27 2023,7:00p,Los Angeles Lakers,94,Philadelphia 76ers,138,Box Score,,19907,Wells Fargo Center,
Mon Nov 27 2023,9:00p,New Orleans Pelicans,112,Utah Jazz,114,Box Score,,18206,Delta Center,
Mon Nov 27 2023,10:30p,Denver Nuggets,113,Los Angeles Clippers,104,Box Score,,17071,Crypto.com Arena,
Tue Nov 28 2023,7:30p,Chicago Bulls,97,Boston Celtics,124,Box Score,,19156,TD Garden,In-Season Tournament
Tue Nov 28 2023,7:30p,Toronto Raptors,103,Brooklyn Nets,115,Box Score,,15844,Barclays Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Atlanta Hawks,105,Cleveland Cavaliers,128,Box Score,,19432,Rocket Mortgage Fieldhouse,In-Season Tournament
Tue Nov 28 2023,7:30p,Milwaukee Bucks,131,Miami Heat,124,Box Score,,19691,Kaseya Center,In-Season Tournament
Tue Nov 28 2023,7:30p,Charlotte Hornets,91,New York Knicks,115,Box Score,,19111,Madison Square Garden (IV),In-Season Tournament
Tue Nov 28 2023,8:00p,Oklahoma City Thunder,103,Minnesota Timberwolves,106,Box Score,,18024,Target Center,In-Season Tournament
Tue Nov 28 2023,8:30p,Houston Rockets,115,Dallas Mavericks,121,Box Score,,20103,American Airlines Center,In-Season Tournament
Tue Nov 28 2023,10:00p,Golden State Warriors,123,Sacramento Kings,124,Box Score,,18039,Golden 1 Center,In-Season Tournament
Wed Nov 29 2023,7:00p,Los Angeles Lakers,133,Detroit Pistons,107,Box Score,,20062,Little Caesars Arena,
Wed Nov 29 2023,7:00p,Washington Wizards,120,Orlando Magic,139,Box Score,,17109,Amway Center,
Wed Nov 29 2023,7:30p,Phoenix Suns,105,Toronto Raptors,112,Box Score,,19800,Scotiabank Arena,
Wed Nov 29 2023,8:00p,Utah Jazz,91,Memphis Grizzlies,105,Box Score,,15327,FedEx Forum,
Wed Nov 29 2023,8:00p,Philadelphia 76ers,114,New Orleans Pelicans,124,Box Score,,16009,Smoothie King Center,
Wed Nov 29 2023,9:00p,Houston Rockets,124,Denver Nuggets,134,Box Score,,19590,Ball Arena,
Wed Nov 29 2023,10:00p,Los Angeles Clippers,131,Sacramento Kings,117,Box Score,,17829,Golden 1 Center,
Thu Nov 30 2023,7:00p,Portland Trail Blazers,103,Cleveland Cavaliers,95,Box Score,,19432,Rocket Mortgage Fieldhouse,
Thu Nov 30 2023,7:30p,Charlotte Hornets,129,Brooklyn Nets,128,Box Score,,16072,Barclays Center,
Thu Nov 30 2023,7:30p,Indiana Pacers,132,Miami Heat,142,Box Score,,19604,Kaseya Center,
Thu Nov 30 2023,7:30p,Detroit Pistons,112,New York Knicks,118,Box Score,,19812,Madison Square Garden (IV),
Thu Nov 30 2023,8:00p,Milwaukee Bucks,113,Chicago Bulls,120,Box Score,OT,19838,United Center,
Thu Nov 30 2023,8:00p,Utah Jazz,90,Minnesota Timberwolves,101,Box Score,,18024,Target Center,
Thu Nov 30 2023,8:00p,Los Angeles Lakers,110,Oklahoma City Thunder,133,Box Score,,17401,Paycom Center,
Thu Nov 30 2023,8:00p,Atlanta Hawks,137,San Antonio Spurs,135,Box Score,,17646,Frost Bank Center,
Thu Nov 30 2023,10:00p,Los Angeles Clippers,114,Golden State Warriors,120,Box Score,,18064,Chase Center,
Fri Dec 1 2023,7:00p,Washington Wizards,125,Orlando Magic,130,Box Score,,18846,Amway Center,
Fri Dec 1 2023,7:30p,Philadelphia 76ers,119,Boston Celtics,125,Box Score,,19156,TD Garden,
Fri Dec 1 2023,7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,Box Score,,20150,American Airlines Center,
Fri Dec 1 2023,7:30p,New York Knicks,119,Toronto Raptors,106,Box Score,,19800,Scotiabank Arena,
Fri Dec 1 2023,8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Box Score,,17028,Smoothie King Center,
Fri Dec 1 2023,10:00p,Denver Nuggets,119,Phoenix Suns,111,Box Score,,17071,Footprint Center,
Sat Dec 2 2023,4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Box Score,,19370,Crypto.com Arena,
Sat Dec 2 2023,5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Box Score,,17731,Spectrum Center,
Sat Dec 2 2023,7:00p,Orlando Magic,101,Brooklyn Nets,129,Box Score,,17966,Barclays Center,
Sat Dec 2 2023,7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Box Score,,18924,Little Caesars Arena,
Sat Dec 2 2023,8:00p,New Orleans Pelicans,118,Chicago Bulls,124,Box Score,,20511,United Center,
Sat Dec 2 2023,8:00p,Indiana Pacers,144,Miami Heat,129,Box Score,,19650,Kaseya Center,
Sat Dec 2 2023,8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Box Score,,17866,Fiserv Forum,
Sat Dec 2 2023,9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,Box Score,,20277,American Airlines Center,
Sat Dec 2 2023,9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Box Score,,17071,Footprint Center,
Sat Dec 2 2023,9:30p,Portland Trail Blazers,113,Utah Jazz,118,Box Score,OT,18206,Delta Center,
Sat Dec 2 2023,10:00p,Denver Nuggets,117,Sacramento Kings,123,Box Score,,17829,Golden 1 Center,
Sat Dec 2 2023,10:30p,Houston Rockets,97,Los Angeles Lakers,107,Box Score,,18997,Crypto.com Arena,
Mon Dec 4 2023,7:30p,Boston Celtics,112,Indiana Pacers,122,Box Score,,16693,Gainbridge Fieldhouse,In-Season Tournament
Mon Dec 4 2023,10:00p,New Orleans Pelicans,127,Sacramento Kings,117,Box Score,,18048,Golden 1 Center,In-Season Tournament
Tue Dec 5 2023,7:30p,New York Knicks,122,Milwaukee Bucks,146,Box Score,,17448,Fiserv Forum,In-Season Tournament
Tue Dec 5 2023,10:00p,Phoenix Suns,103,Los Angeles Lakers,106,Box Score,,18664,Crypto.com Arena,In-Season Tournament
Wed Dec 6 2023,7:00p,Orlando Magic,111,Cleveland Cavaliers,121,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Dec 6 2023,7:00p,Memphis Grizzlies,116,Detroit Pistons,102,Box Score,,12862,Little Caesars Arena,
Wed Dec 6 2023,7:00p,Philadelphia 76ers,131,Washington Wizards,126,Box Score,,15568,Capital One Arena,
Wed Dec 6 2023,7:30p,Brooklyn Nets,114,Atlanta Hawks,113,Box Score,,15906,State Farm Arena,
Wed Dec 6 2023,7:30p,San Antonio Spurs,94,Minnesota Timberwolves,102,Box Score,,18024,Target Center,
Wed Dec 6 2023,7:30p,Miami Heat,112,Toronto Raptors,103,Box Score,,19084,Scotiabank Arena,
Wed Dec 6 2023,8:00p,Charlotte Hornets,100,Chicago Bulls,111,Box Score,,17689,United Center,
Wed Dec 6 2023,8:00p,Oklahoma City Thunder,101,Houston Rockets,110,Box Score,,16291,Toyota Center,
Wed Dec 6 2023,8:30p,Utah Jazz,97,Dallas Mavericks,147,Box Score,,19877,American Airlines Center,
Wed Dec 6 2023,10:00p,Portland Trail Blazers,106,Golden State Warriors,110,Box Score,,18064,Chase Center,
Wed Dec 6 2023,10:00p,Denver Nuggets,102,Los Angeles Clippers,111,Box Score,,16365,Crypto.com Arena,
Thu Dec 7 2023,5:00p,Indiana Pacers,128,Milwaukee Bucks,119,Box Score,,16837,,In-Season Tournament
Thu Dec 7 2023,9:00p,New Orleans Pelicans,89,Los Angeles Lakers,133,Box Score,,18017,,In-Season Tournament
Fri Dec 8 2023,7:00p,Toronto Raptors,116,Charlotte Hornets,119,Box Score,,11526,Spectrum Center,
Fri Dec 8 2023,7:00p,Detroit Pistons,91,Orlando Magic,123,Box Score,,18655,Amway Center,
Fri Dec 8 2023,7:00p,Atlanta Hawks,114,Philadelphia 76ers,125,Box Score,,19746,Wells Fargo Center,
Fri Dec 8 2023,7:30p,New York Knicks,123,Boston Celtics,133,Box Score,,19156,TD Garden,
Fri Dec 8 2023,7:30p,Washington Wizards,97,Brooklyn Nets,124,Box Score,,16587,Barclays Center,
Fri Dec 8 2023,8:00p,Minnesota Timberwolves,127,Memphis Grizzlies,103,Box Score,,15577,FedEx Forum,
Fri Dec 8 2023,8:00p,Cleveland Cavaliers,111,Miami Heat,99,Box Score,,19600,Kaseya Center,
Fri Dec 8 2023,8:00p,Golden State Warriors,136,Oklahoma City Thunder,138,Box Score,OT,17112,Paycom Center,
Fri Dec 8 2023,8:30p,Chicago Bulls,121,San Antonio Spurs,112,Box Score,,18074,Frost Bank Center,
Fri Dec 8 2023,9:00p,Houston Rockets,114,Denver Nuggets,106,Box Score,,19544,Ball Arena,
Fri Dec 8 2023,9:00p,Sacramento Kings,114,Phoenix Suns,106,Box Score,,17071,Footprint Center,
Fri Dec 8 2023,10:00p,Dallas Mavericks,125,Portland Trail Blazers,112,Box Score,,18762,Moda Center,
Fri Dec 8 2023,10:00p,Los Angeles Clippers,117,Utah Jazz,103,Box Score,,18206,Delta Center,
Mon Dec 11 2023,7:00p,Miami Heat,116,Charlotte Hornets,114,Box Score,,15543,Spectrum Center,
Mon Dec 11 2023,7:00p,Indiana Pacers,131,Detroit Pistons,123,Box Score,,14988,Little Caesars Arena,
Mon Dec 11 2023,7:00p,Cleveland Cavaliers,94,Orlando Magic,104,Box Score,,19032,Amway Center,
Mon Dec 11 2023,7:00p,Washington Wizards,101,Philadelphia 76ers,146,Box Score,,19762,Wells Fargo Center,
Mon Dec 11 2023,7:30p,Denver Nuggets,129,Atlanta Hawks,122,Box Score,,17531,State Farm Arena,
Mon Dec 11 2023,7:30p,Toronto Raptors,130,New York Knicks,136,Box Score,,19812,Madison Square Garden (IV),
Mon Dec 11 2023,8:00p,San Antonio Spurs,82,Houston Rockets,93,Box Score,,16481,Toyota Center,
Mon Dec 11 2023,8:00p,Dallas Mavericks,120,Memphis Grizzlies,113,Box Score,,16379,FedEx Forum,
Mon Dec 11 2023,8:00p,Chicago Bulls,129,Milwaukee Bucks,133,Box Score,OT,17440,Fiserv Forum,
Mon Dec 11 2023,8:00p,Minnesota Timberwolves,107,New Orleans Pelicans,121,Box Score,,16487,Smoothie King Center,
Mon Dec 11 2023,8:00p,Utah Jazz,120,Oklahoma City Thunder,134,Box Score,,16631,Paycom Center,
Mon Dec 11 2023,10:00p,Brooklyn Nets,118,Sacramento Kings,131,Box Score,,17794,Golden 1 Center,
Mon Dec 11 2023,10:30p,Portland Trail Blazers,127,Los Angeles Clippers,132,Box Score,,17102,Crypto.com Arena,
Tue Dec 12 2023,7:30p,Cleveland Cavaliers,113,Boston Celtics,120,Box Score,,19156,TD Garden,
Tue Dec 12 2023,7:30p,Los Angeles Lakers,125,Dallas Mavericks,127,Box Score,,20377,American Airlines Center,
Tue Dec 12 2023,8:00p,Denver Nuggets,114,Chicago Bulls,106,Box Score,,20775,United Center,
Tue Dec 12 2023,10:00p,Golden State Warriors,116,Phoenix Suns,119,Box Score,,17071,Footprint Center,
Tue Dec 12 2023,10:30p,Sacramento Kings,99,Los Angeles Clippers,119,Box Score,,17060,Crypto.com Arena,
Wed Dec 13 2023,7:00p,Philadelphia 76ers,129,Detroit Pistons,111,Box Score,,16749,Little Caesars Arena,
Wed Dec 13 2023,7:00p,New Orleans Pelicans,142,Washington Wizards,122,Box Score,,14080,Capital One Arena,
Wed Dec 13 2023,7:30p,Charlotte Hornets,104,Miami Heat,115,Box Score,,19600,Kaseya Center,
Wed Dec 13 2023,7:30p,Atlanta Hawks,128,Toronto Raptors,135,Box Score,,19423,Scotiabank Arena,
Wed Dec 13 2023,8:00p,Memphis Grizzlies,104,Houston Rockets,117,Box Score,,16813,Toyota Center,
Wed Dec 13 2023,8:00p,Indiana Pacers,126,Milwaukee Bucks,140,Box Score,,17431,Fiserv Forum,
Wed Dec 13 2023,8:00p,Los Angeles Lakers,122,San Antonio Spurs,119,Box Score,,18354,Frost Bank Center,
Wed Dec 13 2023,9:00p,Brooklyn Nets,116,Phoenix Suns,112,Box Score,,17071,Footprint Center,
Wed Dec 13 2023,9:00p,New York Knicks,113,Utah Jazz,117,Box Score,,18206,Delta Center,
Thu Dec 14 2023,7:30p,Cleveland Cavaliers,107,Boston Celtics,116,Box Score,,19156,TD Garden,
Thu Dec 14 2023,7:30p,Chicago Bulls,124,Miami Heat,116,Box Score,,19653,Kaseya Center,
Thu Dec 14 2023,8:30p,Minnesota Timberwolves,119,Dallas Mavericks,101,Box Score,,20177,American Airlines Center,
Thu Dec 14 2023,9:00p,Brooklyn Nets,101,Denver Nuggets,124,Box Score,,19636,Ball Arena,
Thu Dec 14 2023,10:00p,Utah Jazz,122,Portland Trail Blazers,114,Box Score,,17842,Moda Center,
Thu Dec 14 2023,10:00p,Oklahoma City Thunder,123,Sacramento Kings,128,Box Score,,17794,Golden 1 Center,
Thu Dec 14 2023,10:30p,Golden State Warriors,113,Los Angeles Clippers,121,Box Score,,19370,Crypto.com Arena,
Fri Dec 15 2023,7:00p,New Orleans Pelicans,112,Charlotte Hornets,107,Box Score,,16080,Spectrum Center,
Fri Dec 15 2023,7:00p,Detroit Pistons,92,Philadelphia 76ers,124,Box Score,,19761,Wells Fargo Center,
Fri Dec 15 2023,7:00p,Indiana Pacers,123,Washington Wizards,137,Box Score,,15208,Capital One Arena,
Fri Dec 15 2023,7:30p,Orlando Magic,111,Boston Celtics,128,Box Score,,19156,TD Garden,
Fri Dec 15 2023,7:30p,Los Angeles Lakers,115,San Antonio Spurs,129,Box Score,,18354,Frost Bank Center,
Fri Dec 15 2023,7:30p,Atlanta Hawks,125,Toronto Raptors,104,Box Score,,19800,Scotiabank Arena,
Fri Dec 15 2023,8:00p,Houston Rockets,103,Memphis Grizzlies,96,Box Score,,16941,FedEx Forum,
Fri Dec 15 2023,10:00p,New York Knicks,139,Phoenix Suns,122,Box Score,,17071,Footprint Center,
Sat Dec 16 2023,6:00p,Detroit Pistons,114,Milwaukee Bucks,146,Box Score,,17666,Fiserv Forum,
Sat Dec 16 2023,7:00p,Philadelphia 76ers,135,Charlotte Hornets,82,Box Score,,17829,Spectrum Center,
Sat Dec 16 2023,7:30p,Atlanta Hawks,119,Cleveland Cavaliers,127,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Dec 16 2023,8:00p,Chicago Bulls,116,Miami Heat,118,Box Score,,19815,Kaseya Center,
Sat Dec 16 2023,8:00p,Indiana Pacers,109,Minnesota Timberwolves,127,Box Score,,18024,Target Center,
Sat Dec 16 2023,8:30p,Brooklyn Nets,120,Golden State Warriors,124,Box Score,,18064,Chase Center,
Sat Dec 16 2023,9:00p,Oklahoma City Thunder,118,Denver Nuggets,117,Box Score,,19611,Ball Arena,
Sat Dec 16 2023,9:00p,Dallas Mavericks,131,Portland Trail Blazers,120,Box Score,,18439,Moda Center,
Sat Dec 16 2023,10:00p,Utah Jazz,104,Sacramento Kings,125,Box Score,,17794,Golden 1 Center,
Sat Dec 16 2023,10:30p,New York Knicks,122,Los Angeles Clippers,144,Box Score,,19370,Crypto.com Arena,
Sun Dec 17 2023,3:00p,Orlando Magic,97,Boston Celtics,114,Box Score,,19156,TD Garden,
Sun Dec 17 2023,3:30p,New Orleans Pelicans,146,San Antonio Spurs,110,Box Score,,18354,Frost Bank Center,
Sun Dec 17 2023,7:00p,Houston Rockets,119,Milwaukee Bucks,128,Box Score,,17341,Fiserv Forum,
Sun Dec 17 2023,8:00p,Washington Wizards,108,Phoenix Suns,112,Box Score,,17071,Footprint Center,
Sun Dec 17 2023,9:00p,Golden State Warriors,118,Portland Trail Blazers,114,Box Score,,18547,Moda Center,
Mon Dec 18 2023,7:00p,Houston Rockets,130,Cleveland Cavaliers,135,Box Score,OT,19432,Rocket Mortgage Fieldhouse,
Mon Dec 18 2023,7:00p,Los Angeles Clippers,151,Indiana Pacers,127,Box Score,,16665,Gainbridge Fieldhouse,
Mon Dec 18 2023,7:00p,Chicago Bulls,108,Philadelphia 76ers,104,Box Score,,19773,Wells Fargo Center,
Mon Dec 18 2023,7:30p,Detroit Pistons,124,Atlanta Hawks,130,Box Score,,17664,State Farm Arena,
Mon Dec 18 2023,7:30p,Minnesota Timberwolves,112,Miami Heat,108,Box Score,,19819,Kaseya Center,
Mon Dec 18 2023,7:30p,Charlotte Hornets,99,Toronto Raptors,114,Box Score,,19288,Scotiabank Arena,
Mon Dec 18 2023,8:00p,Memphis Grizzlies,97,Oklahoma City Thunder,116,Box Score,,16409,Paycom Center,
Mon Dec 18 2023,9:00p,Dallas Mavericks,104,Denver Nuggets,130,Box Score,,19659,Ball Arena,
Mon Dec 18 2023,9:00p,Brooklyn Nets,108,Utah Jazz,125,Box Score,,18206,Delta Center,
Mon Dec 18 2023,10:00p,Washington Wizards,131,Sacramento Kings,143,Box Score,,17794,Golden 1 Center,
Mon Dec 18 2023,10:30p,New York Knicks,114,Los Angeles Lakers,109,Box Score,,18997,Crypto.com Arena,
Tue Dec 19 2023,7:30p,Memphis Grizzlies,115,New Orleans Pelicans,113,Box Score,,18355,Smoothie King Center,
Tue Dec 19 2023,8:00p,San Antonio Spurs,119,Milwaukee Bucks,132,Box Score,,17729,Fiserv Forum,
Tue Dec 19 2023,10:00p,Boston Celtics,126,Golden State Warriors,132,Box Score,OT,18064,Chase Center,
Tue Dec 19 2023,10:00p,Phoenix Suns,104,Portland Trail Blazers,109,Box Score,,18233,Moda Center,
Wed Dec 20 2023,7:00p,Utah Jazz,116,Cleveland Cavaliers,124,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Dec 20 2023,7:00p,Charlotte Hornets,113,Indiana Pacers,144,Box Score,,16761,Gainbridge Fieldhouse,
Wed Dec 20 2023,7:00p,Miami Heat,115,Orlando Magic,106,Box Score,,19129,Amway Center,
Wed Dec 20 2023,7:00p,Minnesota Timberwolves,113,Philadelphia 76ers,127,Box Score,,20365,Wells Fargo Center,
Wed Dec 20 2023,7:30p,New York Knicks,121,Brooklyn Nets,102,Box Score,,18071,Barclays Center,
Wed Dec 20 2023,7:30p,Denver Nuggets,113,Toronto Raptors,104,Box Score,,19800,Scotiabank Arena,
Wed Dec 20 2023,8:00p,Los Angeles Lakers,108,Chicago Bulls,124,Box Score,,21234,United Center,
Wed Dec 20 2023,8:00p,Atlanta Hawks,134,Houston Rockets,127,Box Score,,18055,Toyota Center,
Wed Dec 20 2023,8:30p,Los Angeles Clippers,120,Dallas Mavericks,111,Box Score,,20310,American Airlines Center,
Wed Dec 20 2023,10:00p,Boston Celtics,144,Sacramento Kings,119,Box Score,,17874,Golden 1 Center,
Thu Dec 21 2023,7:00p,Utah Jazz,119,Detroit Pistons,111,Box Score,,18122,Little Caesars Arena,
Thu Dec 21 2023,7:30p,New Orleans Pelicans,123,Cleveland Cavaliers,104,Box Score,,19432,Rocket Mortgage Fieldhouse,
Thu Dec 21 2023,8:00p,San Antonio Spurs,95,Chicago Bulls,114,Box Score,,20697,United Center,
Thu Dec 21 2023,8:00p,Indiana Pacers,103,Memphis Grizzlies,116,Box Score,,18160,FedEx Forum,
Thu Dec 21 2023,8:00p,Orlando Magic,114,Milwaukee Bucks,118,Box Score,,17928,Fiserv Forum,
Thu Dec 21 2023,8:00p,Los Angeles Clippers,115,Oklahoma City Thunder,134,Box Score,,18203,Paycom Center,
Thu Dec 21 2023,9:00p,Los Angeles Lakers,111,Minnesota Timberwolves,118,Box Score,,18024,Target Center,
Thu Dec 21 2023,10:00p,Washington Wizards,118,Portland Trail Blazers,117,Box Score,,18690,Moda Center,
Fri Dec 22 2023,7:00p,Toronto Raptors,111,Philadelphia 76ers,121,Box Score,,20230,Wells Fargo Center,
Fri Dec 22 2023,7:30p,Denver Nuggets,122,Brooklyn Nets,117,Box Score,,17732,Barclays Center,
Fri Dec 22 2023,8:00p,Dallas Mavericks,96,Houston Rockets,122,Box Score,,18055,Toyota Center,
Fri Dec 22 2023,8:00p,Atlanta Hawks,113,Miami Heat,122,Box Score,,20029,Kaseya Center,
Fri Dec 22 2023,10:00p,Washington Wizards,118,Golden State Warriors,129,Box Score,,18064,Chase Center,
Fri Dec 22 2023,10:00p,Phoenix Suns,105,Sacramento Kings,120,Box Score,,17794,Golden 1 Center,
Sat Dec 23 2023,12:30p,Milwaukee Bucks,130,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),
Sat Dec 23 2023,3:30p,Boston Celtics,145,Los Angeles Clippers,108,Box Score,,19370,Crypto.com Arena,
Sat Dec 23 2023,7:00p,Denver Nuggets,102,Charlotte Hornets,95,Box Score,,19165,Spectrum Center,
Sat Dec 23 2023,7:00p,Orlando Magic,117,Indiana Pacers,110,Box Score,,17274,Gainbridge Fieldhouse,
Sat Dec 23 2023,7:00p,Houston Rockets,106,New Orleans Pelicans,104,Box Score,,17399,Smoothie King Center,
Sat Dec 23 2023,7:30p,Memphis Grizzlies,125,Atlanta Hawks,119,Box Score,,17632,State Farm Arena,
Sat Dec 23 2023,7:30p,Detroit Pistons,115,Brooklyn Nets,126,Box Score,,17732,Barclays Center,
Sat Dec 23 2023,7:30p,Utah Jazz,126,Toronto Raptors,119,Box Score,,19420,Scotiabank Arena,
Sat Dec 23 2023,8:00p,Cleveland Cavaliers,109,Chicago Bulls,95,Box Score,,19583,United Center,
Sat Dec 23 2023,8:00p,Los Angeles Lakers,129,Oklahoma City Thunder,120,Box Score,,18203,Paycom Center,
Sat Dec 23 2023,8:30p,San Antonio Spurs,119,Dallas Mavericks,144,Box Score,,20409,American Airlines Center,
Sat Dec 23 2023,8:30p,Portland Trail Blazers,106,Golden State Warriors,126,Box Score,,18064,Chase Center,
Sat Dec 23 2023,10:00p,Minnesota Timberwolves,110,Sacramento Kings,98,Box Score,,17983,Golden 1 Center,
Mon Dec 25 2023,12:00p,Milwaukee Bucks,122,New York Knicks,129,Box Score,,19812,Madison Square Garden (IV),
Mon Dec 25 2023,2:30p,Golden State Warriors,114,Denver Nuggets,120,Box Score,,19811,Ball Arena,
Mon Dec 25 2023,5:00p,Boston Celtics,126,Los Angeles Lakers,115,Box Score,,18997,Crypto.com Arena,
Mon Dec 25 2023,8:00p,Philadelphia 76ers,113,Miami Heat,119,Box Score,,20162,Kaseya Center,
Mon Dec 25 2023,10:30p,Dallas Mavericks,128,Phoenix Suns,114,Box Score,,17071,Footprint Center,
Tue Dec 26 2023,7:00p,Brooklyn Nets,118,Detroit Pistons,112,Box Score,,19811,Little Caesars Arena,
Tue Dec 26 2023,7:00p,Orlando Magic,127,Washington Wizards,119,Box Score,,16293,Capital One Arena,
Tue Dec 26 2023,8:00p,Atlanta Hawks,113,Chicago Bulls,118,Box Score,,21420,United Center,
Tue Dec 26 2023,8:00p,Indiana Pacers,123,Houston Rockets,117,Box Score,,18055,Toyota Center,
Tue Dec 26 2023,8:00p,Memphis Grizzlies,116,New Orleans Pelicans,115,Box Score,OT,18538,Smoothie King Center,
Tue Dec 26 2023,8:00p,Minnesota Timberwolves,106,Oklahoma City Thunder,129,Box Score,,18203,Paycom Center,
Tue Dec 26 2023,8:00p,Utah Jazz,130,San Antonio Spurs,118,Box Score,,18579,Frost Bank Center,
Tue Dec 26 2023,10:00p,Sacramento Kings,113,Portland Trail Blazers,130,Box Score,,18585,Moda Center,
Tue Dec 26 2023,10:30p,Charlotte Hornets,104,Los Angeles Clippers,113,Box Score,,19370,Crypto.com Arena,
Wed Dec 27 2023,7:00p,Philadelphia 76ers,112,Orlando Magic,92,Box Score,,19179,Amway Center,
Wed Dec 27 2023,7:00p,Toronto Raptors,132,Washington Wizards,102,Box Score,,15437,Capital One Arena,
Wed Dec 27 2023,7:30p,Milwaukee Bucks,144,Brooklyn Nets,122,Box Score,,18199,Barclays Center,
Wed Dec 27 2023,8:00p,Phoenix Suns,129,Houston Rockets,113,Box Score,,18055,Toyota Center,
Wed Dec 27 2023,8:00p,New York Knicks,120,Oklahoma City Thunder,129,Box Score,,18203,Paycom Center,
Wed Dec 27 2023,8:30p,Cleveland Cavaliers,113,Dallas Mavericks,110,Box Score,,20377,American Airlines Center,
Thu Dec 28 2023,7:30p,Detroit Pistons,122,Boston Celtics,128,Box Score,OT,19156,TD Garden,
Thu Dec 28 2023,8:00p,Indiana Pacers,120,Chicago Bulls,104,Box Score,,21568,United Center,
Thu Dec 28 2023,8:00p,Dallas Mavericks,110,Minnesota Timberwolves,118,Box Score,,18024,Target Center,
Thu Dec 28 2023,8:00p,Utah Jazz,105,New Orleans Pelicans,112,Box Score,,17753,Smoothie King Center,
Thu Dec 28 2023,9:00p,Memphis Grizzlies,105,Denver Nuggets,142,Box Score,,19733,Ball Arena,
Thu Dec 28 2023,10:00p,Miami Heat,114,Golden State Warriors,102,Box Score,,18064,Chase Center,
Thu Dec 28 2023,10:00p,San Antonio Spurs,118,Portland Trail Blazers,105,Box Score,,19335,Moda Center,
Thu Dec 28 2023,10:30p,Charlotte Hornets,112,Los Angeles Lakers,133,Box Score,,18997,Crypto.com Arena,
Fri Dec 29 2023,7:00p,New York Knicks,108,Orlando Magic,117,Box Score,,19587,Amway Center,
Fri Dec 29 2023,7:00p,Brooklyn Nets,104,Washington Wizards,110,Box Score,,16825,Capital One Arena,
Fri Dec 29 2023,7:30p,Sacramento Kings,117,Atlanta Hawks,110,Box Score,,18305,State Farm Arena,
Fri Dec 29 2023,7:30p,Toronto Raptors,118,Boston Celtics,120,Box Score,,19156,TD Garden,
Fri Dec 29 2023,7:30p,Milwaukee Bucks,119,Cleveland Cavaliers,111,Box Score,,19432,Rocket Mortgage Fieldhouse,
