Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 25 2022,8:00p,Sacramento Kings,,Boston Celtics,,,,,TD Garden,
Fri Nov 25 2022,8:00p,Atlanta Hawks,,Houston Rockets,,,,,Toyota Center,
Fri Nov 25 2022,8:00p,Brooklyn Nets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Fri Nov 25 2022,8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Nov 25 2022,8:00p,Washington Wizards,,Miami Heat,,,,,FTX Arena,
Fri Nov 25 2022,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,Fiserv Forum,
Fri Nov 25 2022,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,
Fri Nov 25 2022,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,AT&T Center,
Fri Nov 25 2022,9:00p,Detroit Pistons,,Phoenix Suns,,,,,Footprint Center,
Fri Nov 25 2022,10:00p,Utah Jazz,,Golden State Warriors,,,,,Chase Center,
Fri Nov 25 2022,10:30p,Denver Nuggets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Nov 26 2022,5:00p,Dallas Mavericks,,Toronto Raptors,,,,,Scotiabank Arena,
Sat Nov 26 2022,8:00p,Oklahoma City Thunder,,Houston Rockets,,,,,Toyota Center,
Sat Nov 26 2022,8:00p,Los Angeles Lakers,,San Antonio Spurs,,,,,AT&T Center,
Sat Nov 26 2022,9:00p,Utah Jazz,,Phoenix Suns,,,,,Footprint Center,
Sun Nov 27 2022,3:00p,Portland Trail Blazers,,Brooklyn Nets,,,,,Barclays Center,
Sun Nov 27 2022,3:30p,Golden State Warriors,,Minnesota Timberwolves,,,,,Target Center,
Sun Nov 27 2022,4:00p,Indiana Pacers,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Nov 27 2022,5:00p,Miami Heat,,Atlanta Hawks,,,,,State Farm Arena,
Sun Nov 27 2022,6:00p,Washington Wizards,,Boston Celtics,,,,,TD Garden,
Sun Nov 27 2022,6:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,Little Caesars Arena,
Sun Nov 27 2022,6:00p,Memphis Grizzlies,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Nov 27 2022,6:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
Sun Nov 27 2022,8:00p,Dallas Mavericks,,Milwaukee Bucks,,,,,Fiserv Forum,
Mon Nov 28 2022,7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Nov 28 2022,7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,Capital One Arena,
Mon Nov 28 2022,7:30p,Charlotte Hornets,,Boston Celtics,,,,,TD Garden,
Mon Nov 28 2022,7:30p,Orlando Magic,,Brooklyn Nets,,,,,Barclays Center,
Mon Nov 28 2022,7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Nov 28 2022,8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,Smoothie King Center,
Mon Nov 28 2022,9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
Mon Nov 28 2022,9:00p,Chicago Bulls,,Utah Jazz,,,,,Vivint Arena,
Mon Nov 28 2022,10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
Mon Nov 28 2022,10:30p,Indiana Pacers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Tue Nov 29 2022,7:00p,New York Knicks,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Nov 29 2022,7:30p,Golden State Warriors,,Dallas Mavericks,,,,,American Airlines Center,
Tue Nov 29 2022,10:00p,Los Angeles Clippers,,Portland Trail Blazers,,,,,Moda Center,
Wed Nov 30 2022,7:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Nov 30 2022,7:00p,Atlanta Hawks,,Orlando Magic,,,,,Amway Center,
Wed Nov 30 2022,7:30p,Miami Heat,,Boston Celtics,,,,,TD Garden,
Wed Nov 30 2022,7:30p,Washington Wizards,,Brooklyn Nets,,,,,Barclays Center,
Wed Nov 30 2022,7:30p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Nov 30 2022,8:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,Target Center,
Wed Nov 30 2022,8:00p,Toronto Raptors,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Nov 30 2022,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Nov 30 2022,9:00p,Houston Rockets,,Denver Nuggets,,,,,Ball Arena,
Wed Nov 30 2022,9:00p,Chicago Bulls,,Phoenix Suns,,,,,Footprint Center,
Wed Nov 30 2022,9:00p,Los Angeles Clippers,,Utah Jazz,,,,,Vivint Arena,
Wed Nov 30 2022,10:00p,Indiana Pacers,,Sacramento Kings,,,,,Golden 1 Center,
Wed Nov 30 2022,10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Thu Dec 1 2022,7:00p,Dallas Mavericks,,Detroit Pistons,,,,,Little Caesars Arena,
Fri Dec 2 2022,7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
Fri Dec 2 2022,7:30p,Denver Nuggets,,Atlanta Hawks,,,,,State Farm Arena,
Fri Dec 2 2022,7:30p,Miami Heat,,Boston Celtics,,,,,TD Garden,
Fri Dec 2 2022,7:30p,Toronto Raptors,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 2 2022,7:30p,Orlando Magic,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Dec 2 2022,7:30p,Los Angeles Lakers,,Milwaukee Bucks,,,,,Fiserv Forum,
Fri Dec 2 2022,8:00p,Philadelphia 76ers,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Dec 2 2022,8:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,
Fri Dec 2 2022,9:00p,Houston Rockets,,Phoenix Suns,,,,,Footprint Center,
Fri Dec 2 2022,9:00p,Indiana Pacers,,Utah Jazz,,,,,Vivint Arena,
Fri Dec 2 2022,10:00p,Chicago Bulls,,Golden State Warriors,,,,,Chase Center,
Sat Dec 3 2022,12:30p,Dallas Mavericks,,New York Knicks,,,,,Madison Square Garden (IV),
Sat Dec 3 2022,4:00p,Sacramento Kings,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Dec 3 2022,6:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,Spectrum Center,
Sat Dec 3 2022,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
Sat Dec 3 2022,8:00p,Orlando Magic,,Toronto Raptors,,,,,Scotiabank Arena,
Sat Dec 3 2022,8:30p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
Sat Dec 3 2022,9:00p,Portland Trail Blazers,,Utah Jazz,,,,,Vivint Arena,
Sun Dec 4 2022,3:30p,Denver Nuggets,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Dec 4 2022,4:00p,Phoenix Suns,,San Antonio Spurs,,,,,AT&T Center,
Sun Dec 4 2022,6:00p,Boston Celtics,,Brooklyn Nets,,,,,Barclays Center,
Sun Dec 4 2022,6:00p,Memphis Grizzlies,,Detroit Pistons,,,,,Little Caesars Arena,
Sun Dec 4 2022,6:00p,Cleveland Cavaliers,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Dec 4 2022,6:00p,Chicago Bulls,,Sacramento Kings,,,,,Golden 1 Center,
Sun Dec 4 2022,6:00p,Los Angeles Lakers,,Washington Wizards,,,,,Capital One Arena,
Sun Dec 4 2022,9:00p,Indiana Pacers,,Portland Trail Blazers,,,,,Moda Center,
Mon Dec 5 2022,7:00p,Los Angeles Clippers,,Charlotte Hornets,,,,,Spectrum Center,
Mon Dec 5 2022,7:00p,Milwaukee Bucks,,Orlando Magic,,,,,Amway Center,
Mon Dec 5 2022,7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,,,State Farm Arena,
Mon Dec 5 2022,7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Dec 5 2022,8:00p,Philadelphia 76ers,,Houston Rockets,,,,,Toyota Center,
Mon Dec 5 2022,8:00p,Miami Heat,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Dec 5 2022,8:30p,Phoenix Suns,,Dallas Mavericks,,,,,American Airlines Center,
Mon Dec 5 2022,10:00p,Indiana Pacers,,Golden State Warriors,,,,,Chase Center,
Tue Dec 6 2022,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Tue Dec 6 2022,7:30p,Detroit Pistons,,Miami Heat,,,,,FTX Arena,
Tue Dec 6 2022,10:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,
Wed Dec 7 2022,7:00p,Los Angeles Clippers,,Orlando Magic,,,,,Amway Center,
Wed Dec 7 2022,7:30p,Charlotte Hornets,,Brooklyn Nets,,,,,Barclays Center,
Wed Dec 7 2022,7:30p,Atlanta Hawks,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Dec 7 2022,7:30p,Los Angeles Lakers,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Dec 7 2022,8:00p,Washington Wizards,,Chicago Bulls,,,,,United Center,
Wed Dec 7 2022,8:00p,Oklahoma City Thunder,,Memphis Grizzlies,,,,,FedEx Forum,
Wed Dec 7 2022,8:00p,Sacramento Kings,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Dec 7 2022,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,Target Center,
Wed Dec 7 2022,8:00p,Detroit Pistons,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Dec 7 2022,9:00p,Golden State Warriors,,Utah Jazz,,,,,Vivint Arena,
Wed Dec 7 2022,10:00p,Boston Celtics,,Phoenix Suns,,,,,Footprint Center,
Thu Dec 8 2022,7:30p,Los Angeles Clippers,,Miami Heat,,,,,FTX Arena,
Thu Dec 8 2022,8:30p,Houston Rockets,,San Antonio Spurs,,,,,AT&T Center,
Thu Dec 8 2022,10:00p,Denver Nuggets,,Portland Trail Blazers,,,,,Moda Center,
Fri Dec 9 2022,7:00p,New York Knicks,,Charlotte Hornets,,,,,Spectrum Center,
Fri Dec 9 2022,7:00p,Washington Wizards,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Fri Dec 9 2022,7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,
Fri Dec 9 2022,7:30p,Atlanta Hawks,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 9 2022,7:30p,Sacramento Kings,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Dec 9 2022,7:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 9 2022,8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Dec 9 2022,8:30p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Dec 9 2022,9:00p,Minnesota Timberwolves,,Utah Jazz,,,,,Vivint Arena,
Fri Dec 9 2022,10:00p,Milwaukee Bucks,,Dallas Mavericks,,,,,American Airlines Center,
Sat Dec 10 2022,5:00p,San Antonio Spurs,,Miami Heat,,,,,FTX Arena,
Sat Dec 10 2022,7:00p,Brooklyn Nets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Dec 10 2022,7:00p,Los Angeles Clippers,,Washington Wizards,,,,,Capital One Arena,
Sat Dec 10 2022,7:30p,Oklahoma City Thunder,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sat Dec 10 2022,8:00p,Dallas Mavericks,,Chicago Bulls,,,,,United Center,
Sat Dec 10 2022,8:30p,Boston Celtics,,Golden State Warriors,,,,,Chase Center,
Sat Dec 10 2022,9:00p,Utah Jazz,,Denver Nuggets,,,,,Ball Arena,
Sat Dec 10 2022,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,Moda Center,
Sun Dec 11 2022,3:30p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
Sun Dec 11 2022,6:00p,Los Angeles Lakers,,Detroit Pistons,,,,,Little Caesars Arena,
Sun Dec 11 2022,6:00p,Sacramento Kings,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Dec 11 2022,6:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,
Sun Dec 11 2022,6:00p,Charlotte Hornets,,Philadelphia 76ers,,,,,Wells Fargo Center,
Sun Dec 11 2022,6:30p,Chicago Bulls,,Atlanta Hawks,,,,,State Farm Arena,
Sun Dec 11 2022,7:00p,Milwaukee Bucks,,Houston Rockets,,,,,Toyota Center,
Mon Dec 12 2022,7:00p,Miami Heat,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Dec 12 2022,7:00p,Brooklyn Nets,,Washington Wizards,,,,,Capital One Arena,
Mon Dec 12 2022,8:00p,Atlanta Hawks,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Dec 12 2022,8:30p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,
Mon Dec 12 2022,8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,,,AT&T Center,
Mon Dec 12 2022,10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,Moda Center,
Mon Dec 12 2022,10:30p,Boston Celtics,,Los Angeles Clippers,,,,,Crypto.com Arena,
Tue Dec 13 2022,7:00p,Sacramento Kings,,Philadelphia 76ers,,,,,Wells Fargo Center,
Tue Dec 13 2022,7:30p,Golden State Warriors,,Milwaukee Bucks,,,,,Fiserv Forum,
Tue Dec 13 2022,8:00p,Phoenix Suns,,Houston Rockets,,,,,Toyota Center,
Tue Dec 13 2022,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Vivint Arena,
Tue Dec 13 2022,10:00p,Boston Celtics,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Dec 14 2022,7:00p,Detroit Pistons,,Charlotte Hornets,,,,,Spectrum Center,
Wed Dec 14 2022,7:00p,Golden State Warriors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Dec 14 2022,7:00p,Atlanta Hawks,,Orlando Magic,,,,,Amway Center,
Wed Dec 14 2022,7:30p,New York Knicks,,Chicago Bulls,,,,,United Center,
Wed Dec 14 2022,7:30p,Sacramento Kings,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Dec 14 2022,8:00p,Miami Heat,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Dec 14 2022,8:00p,Portland Trail Blazers,,San Antonio Spurs,,,,,AT&T Center,
Wed Dec 14 2022,9:00p,Cleveland Cavaliers,,Dallas Mavericks,,,,,American Airlines Center,
Wed Dec 14 2022,9:00p,Washington Wizards,,Denver Nuggets,,,,,Ball Arena,
Wed Dec 14 2022,10:00p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,Crypto.com Arena,
Thu Dec 15 2022,8:00p,Miami Heat,,Houston Rockets,,,,,Toyota Center,
Thu Dec 15 2022,8:00p,Milwaukee Bucks,,Memphis Grizzlies,,,,,FedEx Forum,
Thu Dec 15 2022,9:00p,New Orleans Pelicans,,Utah Jazz,,,,,Vivint Arena,
Thu Dec 15 2022,10:30p,Phoenix Suns,,Los Angeles Clippers,,,,,Crypto.com Arena,
Fri Dec 16 2022,7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
Fri Dec 16 2022,7:00p,Sacramento Kings,,Detroit Pistons,,,,,Little Caesars Arena,
Fri Dec 16 2022,7:30p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
Fri Dec 16 2022,7:30p,Indiana Pacers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Dec 16 2022,7:30p,Golden State Warriors,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 16 2022,7:30p,Brooklyn Nets,,Toronto Raptors,,,,,Scotiabank Arena,
Fri Dec 16 2022,8:00p,New York Knicks,,Chicago Bulls,,,,,United Center,
Fri Dec 16 2022,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
Fri Dec 16 2022,8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,
Fri Dec 16 2022,10:00p,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sat Dec 17 2022,4:00p,Washington Wizards,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Dec 17 2022,5:00p,Miami Heat,,San Antonio Spurs,,,,,Mexico City Arena,
Sat Dec 17 2022,8:00p,Dallas Mavericks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sat Dec 17 2022,8:00p,Portland Trail Blazers,,Houston Rockets,,,,,Toyota Center,
Sat Dec 17 2022,8:00p,Utah Jazz,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Dec 17 2022,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Dec 17 2022,9:00p,New Orleans Pelicans,,Phoenix Suns,,,,,Footprint Center,
Sun Dec 18 2022,3:00p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
Sun Dec 18 2022,5:00p,New York Knicks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sun Dec 18 2022,6:00p,Brooklyn Nets,,Detroit Pistons,,,,,Little Caesars Arena,
Sun Dec 18 2022,6:00p,Golden State Warriors,,Toronto Raptors,,,,,Scotiabank Arena,
Sun Dec 18 2022,7:00p,Chicago Bulls,,Minnesota Timberwolves,,,,,Target Center,
Sun Dec 18 2022,8:00p,Charlotte Hornets,,Denver Nuggets,,,,,Ball Arena,
Sun Dec 18 2022,9:30p,Washington Wizards,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Dec 19 2022,7:00p,Utah Jazz,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Mon Dec 19 2022,7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Dec 19 2022,7:30p,Orlando Magic,,Atlanta Hawks,,,,,State Farm Arena,
Mon Dec 19 2022,8:00p,San Antonio Spurs,,Houston Rockets,,,,,Toyota Center,
Mon Dec 19 2022,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
Mon Dec 19 2022,8:00p,Milwaukee Bucks,,New Orleans Pelicans,,,,,Smoothie King Center,
Mon Dec 19 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
Mon Dec 19 2022,9:00p,Los Angeles Lakers,,Phoenix Suns,,,,,Footprint Center,
Mon Dec 19 2022,10:00p,Charlotte Hornets,,Sacramento Kings,,,,,Golden 1 Center,
Tue Dec 20 2022,7:00p,Utah Jazz,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Dec 20 2022,7:30p,Chicago Bulls,,Miami Heat,,,,,FTX Arena,
Tue Dec 20 2022,7:30p,Golden State Warriors,,New York Knicks,,,,,Madison Square Garden (IV),
Tue Dec 20 2022,9:00p,Washington Wizards,,Phoenix Suns,,,,,Footprint Center,
Tue Dec 20 2022,10:00p,Memphis Grizzlies,,Denver Nuggets,,,,,Ball Arena,
Wed Dec 21 2022,7:00p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Dec 21 2022,7:00p,Detroit Pistons,,Philadelphia 76ers,,,,,Wells Fargo Center,
Wed Dec 21 2022,7:30p,Chicago Bulls,,Atlanta Hawks,,,,,State Farm Arena,
Wed Dec 21 2022,7:30p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
Wed Dec 21 2022,7:30p,Golden State Warriors,,Brooklyn Nets,,,,,Barclays Center,
Wed Dec 21 2022,7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Dec 21 2022,8:00p,Orlando Magic,,Houston Rockets,,,,,Toyota Center,
Wed Dec 21 2022,8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
Wed Dec 21 2022,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Dec 21 2022,10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,Golden 1 Center,
Wed Dec 21 2022,10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Thu Dec 22 2022,8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,Smoothie King Center,
Thu Dec 22 2022,9:00p,Washington Wizards,,Utah Jazz,,,,,Vivint Arena,
Fri Dec 23 2022,7:00p,San Antonio Spurs,,Orlando Magic,,,,,Amway Center,
Fri Dec 23 2022,7:00p,Los Angeles Clippers,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 23 2022,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,State Farm Arena,
Fri Dec 23 2022,7:30p,Minnesota Timberwolves,,Boston Celtics,,,,,TD Garden,
Fri Dec 23 2022,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 23 2022,7:30p,Toronto Raptors,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Fri Dec 23 2022,7:30p,Chicago Bulls,,New York Knicks,,,,,Madison Square Garden (IV),
Fri Dec 23 2022,8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
Fri Dec 23 2022,8:00p,Indiana Pacers,,Miami Heat,,,,,FTX Arena,
Fri Dec 23 2022,8:00p,New Orleans Pelicans,,Oklahoma City Thunder,,,,,Paycom Center,
Fri Dec 23 2022,9:00p,Portland Trail Blazers,,Denver Nuggets,,,,,Ball Arena,
Fri Dec 23 2022,10:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,
Fri Dec 23 2022,10:00p,Washington Wizards,,Sacramento Kings,,,,,Golden 1 Center,
Fri Dec 23 2022,10:30p,Charlotte Hornets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sun Dec 25 2022,12:00p,Philadelphia 76ers,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Dec 25 2022,2:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,American Airlines Center,
Sun Dec 25 2022,5:00p,Milwaukee Bucks,,Boston Celtics,,,,,TD Garden,
Sun Dec 25 2022,8:00p,Memphis Grizzlies,,Golden State Warriors,,,,,Chase Center,
Sun Dec 25 2022,10:30p,Phoenix Suns,,Denver Nuggets,,,,,Ball Arena,
Mon Dec 26 2022,7:00p,Brooklyn Nets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Mon Dec 26 2022,7:00p,Los Angeles Clippers,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Dec 26 2022,7:30p,Minnesota Timberwolves,,Miami Heat,,,,,FTX Arena,
Mon Dec 26 2022,8:00p,Houston Rockets,,Chicago Bulls,,,,,United Center,
Mon Dec 26 2022,8:00p,Indiana Pacers,,New Orleans Pelicans,,,,,Smoothie King Center,
Mon Dec 26 2022,8:00p,Utah Jazz,,San Antonio Spurs,,,,,AT&T Center,
Mon Dec 26 2022,10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,Moda Center,
Tue Dec 27 2022,7:00p,Los Angeles Lakers,,Orlando Magic,,,,,Amway Center,
Tue Dec 27 2022,7:00p,Philadelphia 76ers,,Washington Wizards,,,,,Capital One Arena,
Tue Dec 27 2022,7:30p,Houston Rockets,,Boston Celtics,,,,,TD Garden,
Tue Dec 27 2022,7:30p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Tue Dec 27 2022,7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,Scotiabank Arena,
Tue Dec 27 2022,8:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,
Tue Dec 27 2022,8:00p,San Antonio Spurs,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Dec 27 2022,8:30p,New York Knicks,,Dallas Mavericks,,,,,American Airlines Center,
Tue Dec 27 2022,10:00p,Charlotte Hornets,,Golden State Warriors,,,,,Chase Center,
Tue Dec 27 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,
Wed Dec 28 2022,7:00p,Orlando Magic,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Dec 28 2022,7:00p,Phoenix Suns,,Washington Wizards,,,,,Capital One Arena,
Wed Dec 28 2022,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
Wed Dec 28 2022,7:30p,Los Angeles Lakers,,Miami Heat,,,,,FTX Arena,
Wed Dec 28 2022,8:00p,Milwaukee Bucks,,Chicago Bulls,,,,,United Center,
Wed Dec 28 2022,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Dec 28 2022,10:00p,Utah Jazz,,Golden State Warriors,,,,,Chase Center,
Wed Dec 28 2022,10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,
Thu Dec 29 2022,7:00p,Oklahoma City Thunder,,Charlotte Hornets,,,,,Spectrum Center,
Thu Dec 29 2022,7:00p,Cleveland Cavaliers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Thu Dec 29 2022,7:30p,Los Angeles Clippers,,Boston Celtics,,,,,TD Garden,
Thu Dec 29 2022,7:30p,Memphis Grizzlies,,Toronto Raptors,,,,,Scotiabank Arena,
Thu Dec 29 2022,8:00p,New York Knicks,,San Antonio Spurs,,,,,AT&T Center,
Thu Dec 29 2022,8:30p,Houston Rockets,,Dallas Mavericks,,,,,American Airlines Center,
Fri Dec 30 2022,7:00p,Washington Wizards,,Orlando Magic,,,,,Amway Center,
Fri Dec 30 2022,7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,State Farm Arena,
Fri Dec 30 2022,7:30p,Phoenix Suns,,Toronto Raptors,,,,,Scotiabank Arena,
Fri Dec 30 2022,8:00p,Detroit Pistons,,Chicago Bulls,,,,,United Center,
Fri Dec 30 2022,8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,Fiserv Forum,
Fri Dec 30 2022,8:30p,Philadelphia 76ers,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Dec 30 2022,9:00p,Miami Heat,,Denver Nuggets,,,,,Ball Arena,
Fri Dec 30 2022,10:00p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
Fri Dec 30 2022,10:00p,Utah Jazz,,Sacramento Kings,,,,,Golden 1 Center,
Sat Dec 31 2022,3:00p,Los Angeles Clippers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Dec 31 2022,7:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,United Center,
Sat Dec 31 2022,7:00p,Brooklyn Nets,,Charlotte Hornets,,,,,Spectrum Center,
Sat Dec 31 2022,7:00p,New York Knicks,,Houston Rockets,,,,,Toyota Center,
Sat Dec 31 2022,7:00p,Dallas Mavericks,,San Antonio Spurs,,,,,AT&T Center,
Sat Dec 31 2022,8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,FedEx Forum,
Sat Dec 31 2022,8:00p,Detroit Pistons,,Minnesota Timberwolves,,,,,Target Center,
Sat Dec 31 2022,8:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Dec 31 2022,9:00p,Miami Heat,,Utah Jazz,,,,,Vivint Arena,
Sun Jan 1 2023,8:00p,Boston Celtics,,Denver Nuggets,,,,,Ball Arena,
Sun Jan 1 2023,8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,FedEx Forum,
Sun Jan 1 2023,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,Fiserv Forum,
